ISIC Rev 5 Code (with Section),ISIC Rev 5 Code,ISIC Rev 5 Title,ISIC Rev 5 Introductory Text,ISIC Rev 5 Includes,ISIC Rev 5 Includes Also,ISIC Rev 5 Excludes
C3314,3314,Repair and maintenance of electrical equipment,,"This class includes the repair and maintenance of goods of division 27	. 
This class includes:
- repair and maintenance of power, distribution, and specialty transformers
- repair and maintenance of electric motors, generators, and motor generator sets
- repair and maintenance of switchgear and switchboard apparatus
- repair and maintenance of relays and industrial controls
- repair and maintenance of primary and storage batteries
- repair and maintenance of electric lighting equipment
- repair and maintenance of current-carrying wiring devices and noncurrent-carrying wiring devices for wiring electrical circuits","This class includes also:
repair and maintenance of charging stations for cars","This class excludes:
- repair and maintenance of domestic appliances, see 9522
- repair and maintenance of computers and peripheral computer equipment, see 9510
- repair and maintenance of telecommunications equipment, see 9510
- repair and maintenance of consumer electronics, see 9521
- repair of watches and clocks, see 9529"
C3315,3315,"Repair and maintenance of transport equipment, except motor vehicles",,"This class includes the repair and maintenance of transport equipment of division 30, except motorcycles and bicycles. However, the factory rebuilding or overhaul of ships, locomotives, railroad cars and aircraft is classified in division 30.

This class includes:
- repair and routine maintenance of ships
- repair and maintenance of pleasure boats
- repair and maintenance of locomotives and railroad cars (except factory rebuilding or factory conversion)
- repair and maintenance of aircraft (except factory conversion, factory overhaul, factory rebuilding)
- repair and maintenance of aircraft engines
- repair of animal drawn buggies and wagons",,"This class excludes:
- factory rebuilding of ships, see 3011
- factory rebuilding of locomotives and railroad cars, see 3020
- factory rebuilding of aircraft, see 3030
- repair of ship or rail engines, see 3312
- ship scaling, dismantling, see 3830
- repair of bicycles and invalid carriages, see 9529
- repair and maintenance of motor vehicles, see 9531
- repair and maintenance of motorcycles, see 9532"
C3319,3319,Repair and maintenance of other equipment,,"This class includes the repair and maintenance of equipment not covered in other groups of this division.
This class includes:
- repair of fishing nets, including mending
- repair or ropes, riggings, canvas and tarpaulins
- repair of fertiliser and chemical storage bags
- repair or reconditioning of wooden pallets, shipping drums or barrels, and similar items
- repair of gaming and gambling machines
- restoring of organs and other historical musical instruments
- repair of hospital beds
Includes also: - ",,"This class excludes:
- repair of household and office type furniture, furniture restoration, see 9524
- repair of bicycles, see 9529
- repair and alteration of clothing, see 9529"
C332,332,Installation of industrial machinery and equipment,See class 3320,,,
C3320,3320,Installation of industrial machinery and equipment,,"This class includes the specialised installation of machinery. However, the installation of equipment that forms an integral part of buildings or similar structures, such as installation of escalators, electrical wiring, burglar alarm systems or air-conditioning systems, is classified as construction.
This class includes:
- installation of industrial machinery in industrial plant
- installation and assembly of industrial process control equipment
- installation of other industrial equipment, e.g.:
• communications equipment
• mainframe and similar computers
• irradiation and electromedical equipment etc.
- dismantling large-scale machinery and equipment
- activities of millwrights
- machine rigging
- installation of bowling alley equipment
- installation of warehouse machinery and equipment","This class includes also:
- installation of large-scale shelving, warehouses (not as an integral part of building) 
- Installation of stand-alone charging stations ","This class excludes:
- installation of charging stations in wall-boxes, see Section F
- construction of complete warehouses, see 4100
- installation of elevators, escalators, automated doors, vacuum cleaning systems etc., see 4329
- installation of doors, staircases, shop fittings, furniture etc., see 4330
- erection of structural steel for warehouse storage shelves, see 4390
- installation (setting-up) of personal computers, see 629"
D,D,"Electricity, gas, steam and air conditioning supply",,"This section includes the generation, storage, control, distribution, trade and brokerage of electric power or of gaseous fuels for energy supply through a permanent network of lines, mains and pipes. Energy supply for industrial parks or residential buildings is included. 
This section therefore includes the operation of electricity and gas utilities.","The section also includes heating and cooling, e.g. steam and air conditioning supply, through a permanent network.","This section excludes:
- extraction of crude natural gas, see 0620
- water supply and sewerage treatment services, see divisions 36, 37
- transport of gas through pipelines, i.e. not through the distribution network, see 4930"
D35,35,"Electricity, gas, steam and air conditioning supply",See section D,,,
D351,351,"Electric power generation, transmission and distribution activities",,"This group includes the generation of electric power, transmission from generating facilities to distribution centres and distribution to end users. Trade and storage of electric power are also included.",,"This group excludes:
-	separate production and distribution of steam and heat, see 353
-	activities of electric power brokers or agents (intermediaries) that arrange the sale of electricity via power distribution systems operated by others, see 354"
D3511,3511,Electric power generation activities from non-renewable sources,,"This class includes:
-	Operation of generation facilities that produce electricity from non-renewable sources, e.g. natural gas, coal, petroleum products, peat and other fossil fuels, and emission-free non-renewable sources such as nuclear.",,"This class excludes:
-	production of electricity from renewable sources, see 3512
-	production of electricity through incineration of waste, see 3821"
D3512,3512,Electric power generation activities from renewable sources,,"This class includes:
-	operation of generation facilities that produce electricity from renewable sources, e.g. gaseous biofuels, hydropower, on-shore and off-shore wind, solar photovoltaic, and thermal, geothermal and tide, wave and ocean energy.",,"This class excludes:
-	production of electricity from non-renewable sources, see 3511
-	production of electricity through incineration of waste, see 3821"
D3513,3513,Electric power transmission and distribution activities,,"This class includes:
- operation of transmission systems that convey the electricity from the generation facility to the distribution system, usually in the form of high-voltage
- operation of distribution systems (e.g. lines, poles, meters, and wiring) which  convey electric power received from the generation facility or the transmission system to the end user 
- rental and leasing electricity distribution networks
- distribution of electricity into electricity mains/networks
- sale of electricity to the user  on own account
- operation of electricity and transmission capacity exchanges for electric power, except via intermediaries
- conversion of electrical energy into a form of energy which can be stored, the storing of such energy, and the subsequent reconversion of such energy into electrical energy, e.g. operation of pump storage facilities, compressed air storage facilities, or battery storage facilities
- distributing stored electricity into electricity mains/networks","This class also includes:
- operation of charging facilities or stations for electric vehicles, e.g.  electric cars, motorcycles, scooters and bicycles 
- operation of charging facilities for electronic devices, e.g. mobile telephones, or laptops","This class excludes:
- sale of electricity on the account of others, see 3540
- production of electricity not by storage, see 3511, 3512"
D352,352,Manufacture of gas; distribution of gaseous fuels through mains,See class 3520,,,
D3520,3520,Manufacture of gas; distribution of gaseous fuels through mains,,"This class includes the manufacture of gas, the storage and the distribution of natural or synthetic gas to the  user through a system of mains. 
-	production of gas for the purpose of gas supply by carbonation of coal, from by-products of agriculture or from waste
-	- gas storage and gas storage service (e.g. sale of storage capacity for natural gas)
-	manufacture of gaseous fuels with a specified calorific value, by purification, blending and other processes from gases of various types including natural gas
-	transportation, distribution and supply of gaseous fuels of all kinds through a system of mains
-	sale of gas to the user through mains
-	commodity and transport capacity exchanges for gaseous fuels",,"This class excludes:
-	extraction of crude natural gas, see 0620  
-	operation of coke ovens, see 1910
-	manufacture of refined petroleum products and liquefied petroleum gas (LPGs), see 1920
-	manufacture of industrial gases, see 2011
-	activities of brokers or agents (intermediaries) that arrange the sale of natural gas via gas distribution systems operated by others, see 3540  
-	wholesale of bottled gaseous fuels, see 4671
-	retail sale of gaseous fuel for motor vehicles and motorcycles, see 4730
-	retail sale of household fuel oil and bottled gaseous fuels, see 4773
-	transportation, usually over long-distance, of gas through by pipelines, see 4930
-	The separate operation of gas pipelines, typically done over long distances, connecting producers with distributors of gas, or between urban centers, See 4950
-	manufacture of basic organic gases, not for energy supply through a network, see 2011
-	production of blast furnace gas, see 2410
-	production of gas as by-product in landfills, see 3821"
D353,353,Steam and air conditioning supply,See class 3530,,,
D3530,3530,Steam and air conditioning supply,,"This class includes:		
-	production, collection and distribution of steam and hot water for heating, power and other purposes
-	production and distribution of cooled air, e.g. for air conditioning supply
-	production and distribution of chilled water for cooling purposes
-	production of ice from natural water","This class also includes:
-	storage of thermal energy","This class excludes:
-	manufacturing of edible ice, see 1050
-	production of heat/steam through waste incineration, see 3821"
D354,354,Activities of brokers and agents for electric power and natural gas,See class 3540,,,
D3540,3540,Activities of brokers and agents for electric power and natural gas,,"This class includes:
-	activities of brokers or agents who arrange the sale of electricity via power distribution systems operated by others 
-	activities of gas brokers or agentswho arrange the sale of gaseous fuels via gas distribution systems operated by others 
-	activities of brokers or agents for commodity and distribution capacity exchanges for gaseous fuels 
-	activities of brokers or agents for operation of electricity, distribution and transmission capacity exchanges for electric power 	",,"This class excludes:
-	storage and distribution or provision of electric power to the user (through a system of mains) by the producer (own account), see 351    
-	storage and distribution or provision of natural gas to the user through a system of mains by the producer (own account), see 352  
-	intermediation service activities for  transport of gaseous fuels, see 5231"
E,E,"Water supply; sewerage, waste management and remediation activities",,"This section includes activities related to the management, e.g. collection, pretreatment, recovery and disposal, of various forms of waste, such as solid or non-solid industrial or household waste and its organisation. 
The output of the waste or sewage treatment process can either be disposed of or become an input into other production processes. Secondary raw materials are materials and products which can be used as raw materials by simple re-use, or via recycling and recovery of waste. Activities of water supply are also grouped in this section, since they are often carried out in connection with, or by units also engaged in, the treatment of sewage.
The activities also include remediation of contaminated buildings and sites, soil, surface and ground water (e.g. oceans, mangroves, seas) etc. 

Units that usually take over their clients waste procedures and become the customer of the waste hauler, and then in turn bill their clients for waste service must be classified in Division 38 because although these units  do not render the corresponding services themselves, they are responsible for their fulfilment. This activity has to be regarded as complete outsourcing of a service.","This section includes also:
-	carbon capture and storage","This section excludes:
-	waste trade activities as agents, see 4610
-	waste trade activities as wholesalers, see 4679"
E36,36,"Water collection, treatment and supply",,"This division includes the collection, treatment and distribution of water to end-users’. Collection of water from various sources, as well as distribution by various means is included.",,
E360,360,"Water collection, treatment and supply",See class 3600,,,
E3600,3600,"Water collection, treatment and supply",,"This class includes:
-	abstraction of water from rivers, lakes and ground water
-	treatment of water for the water supply 
-	desalting of sea or ground water to produce water as the principal product of interest
-	distribution of water through mains, by trucks or other means
-	rainwater harvesting","This class includes also:
- the operation of irrigation canals 
- rental and leasing of water distribution networks.","This class excludes:
-	provision of irrigation services for agricultural purposes, see 0161
-	production of natural mineral waters and other bottled waters, see 1105
-	treatment of wastewater in order to prevent pollution, see 3700
-	installation of water meters, see 4322
-	transport of water via pipelines not through the mains, see 4930
-	water meter reading by third parties, see 8299"
E37,37,Sewerage,,"This division includes the operation of sewer systems or sewage treatment facilities, which collect, treat and discharge sewage into water bodies or operate surface impoundment.","This division also include the operation of wastewater treatment facilities for reuse, e.g. for treating agricultural, industrial, road cleaning or collected rain water.",
E370,370,Sewerage,See class 3700,,,
E3700,3700,Sewerage,,"This class includes:
-	operation of wastewater treatment facilities, for the reuse of e.g. agricultural, industrial, road cleaning or collected rain water, or for artificial recharge or augmentation of groundwater bodies
-	collection and transportation of wastewater from users, e.g. households or industrial units 
-	collection and transportation of rain water 
-	treatment of wastewater
-	maintenance and cleaning of sewers and drains, including sewer rodding","This class also includes:
-	freeze drying of sewage sludge by wastewater treatment plants
-	emptying and cleaning of cesspools and septic tanks, sinks and pits from sewage
-	servicing of chemical toilets","This class excludes:
-	further treatment of sludge extracted from waste water, such as anaerobic digestion, aerobic treatment like composting, incineration with or without energy recovery, see 3830
-	decontamination of surface water and groundwater at the place of pollution, see 3900
-	construction or repair of sewer systems, see 4220
-	cleaning and deblocking of drainpipes in buildings, see 4322
-	rental and pumping of portable toilets, see 7730"
E38,38,"Waste collection, treatment and disposal, and recovery activities",,"This division includes the collection, pre-treatment for recovery or disposal, recovery and disposal of waste materials and its organization. Collection of waste, which solely supports the subsequent recovery or disposal of the collected waste by the same unit, is to be regarded as waste recovery or as a disposal activity.","This division also includes:
-	local hauling of waste materials and operation of materials recovery facilities, i.e. facilities that transform waste including scrap, whether sorted or not, into secondary raw materials. 
-	activities of units implementing producer responsibility obligations for the management of waste on behalf of the original waste producers. These organisations usually bear the responsibility for the treatment of waste, delegated to them from the original producers of products or packaging. Activities may include the operation of return, collection and recovery systems for used packaging or packaging waste or for the acceptance and treatment of returned or used products","This division excludes:
-	activities of wholesale of waste, see 4679"
E381,381,Waste collection activities,,"This group includes the collection of waste from households and businesses, e.g. by means of bins, containers. It includes collection of non-hazardous and hazardous waste e.g. diapers, used batteries, demolition waste, waste oil from households and ships.",,
E3811,3811,Collection of non-hazardous waste,,"This class includes:
-	collection of non-hazardous solid waste (i.e. garbage) within a local area  such as collection of wated from households and businesses, by means of bins, containers etc., which may contain mixed recoverable materials
-	 collection of recyclable materials (separated or not)
-	collection of non-hazardous waste of animal or vegetal origin
-	collection of used cooking oils and fats
-	collection of refuse in public places
-	collection of yard waste","This class also includes:
-	collection of construction and demolition waste
-	collection and removal of debris 
-	collection of waste output of industrial plants 
-	operation of waste transfer facilities for non-hazardous waste","This class excludes:
-	collection of sewage, see 37
-	collection of hazardous waste, see 3812
-	operation of landfills for the disposal of non-hazardous waste and permanent storage of non-hazardous waste, see 3821
-	operation of facilities  for sorting recoverable waste, see 3830
-	operation of recovery facilities, see 3830"
E3812,3812,Collection of hazardous waste,,"This class includes the collection of hazardous waste, e.g. explosive, oxidizing, flammable, toxic, irritant, carcinogenic, corrosive, infectious and other substances and preparations harmful for human health and environment. The activities may also include identification, treatment, packaging and labelling of waste for the purposes of transport.
This class includes:
-	collection of hazardous waste, such as:
•	used oil from ships or garages, 
•	bio-hazardous waste
•	used batteries 
•	hazardous waste of animal origin
•	nuclear waste
•	collection of expired pharmaceuticals","This class also includes:
-	operation of waste transfer facilities for hazardous waste","This class excludes:
-	collection of non-hazardous waste, see 3811 
-	operation of landfills for the disposal of hazardous waste and permanent storage of hazardous waste , see 3821
-	remediation and clean up of contaminated buildings, mine sites, soil or ground water, e.g. asbestos removal, see 3900"
E382,382,Waste treatment and disposal,,"This group includes the disposal and treatment prior to disposal of various forms of waste by different means, such as waste treatment of organic waste with the aim of disposal; treatment and disposal of toxic live or dead animals and other contaminated waste; treatment and disposal of transition radioactive waste from hospitals, etc.; waste disposal without recovery dumping of refuse on land or in water; burial or ploughing-under of refuse; disposal of used goods such as refrigerators to eliminate harmful waste; disposal of waste by incineration or combustion.
Included is also the generation of electricity resulting from waste incineration processes.
This group excludes:
-	treatment and disposal of wastewater, see 3700
-	waste recovery, see 3830",,
E3821,3821,Treatment and disposal of non-hazardous waste,,"This class includes the disposal, treatment prior to disposal and other treatment of solid or non-solid non-hazardous waste.
This class includes:
-	operation of landfills for the disposal of non-hazardous waste
-	disposal of non-hazardous waste by combustion or incineration or other methods, with or without the resulting production of electricity or steam, substitute fuels, biogas, ashes or other by-products for further use etc.
-	treatment of organic waste for disposal
-	treatment of organic waste for landfilling or permanent storage
-	production of compost from organic waste","This class includes also:
-	- permanent underground storage of waste in a deep geological cavity such as a salt or potassium mine","This class excludes:
-	operation of facilities where waste is unloaded for further transport, see 381
-	storage of waste prior to recovery, see 383
-	incineration and combustion of hazardous waste, see 3822
-	operation of facilities where recoverable materials are sorted, see 3830
-	carbon capturing activities, decontamination, clean up of land, water; and toxic material abatement, see 3900"
E3822,3822,Treatment and disposal of hazardous waste,,"This class includes the disposal and treatment prior to disposal of solid or non-solid hazardous waste, including waste that is explosive, oxidizing, flammable, toxic, irritant, carcinogenic, corrosive or infectious and other substances and preparations harmful for human health and environment.
This class includes:
-	operation of facilities for treatment of hazardous waste
-	treatment and disposal of toxic live or dead animals and other contaminated waste
-	incineration of hazardous waste
-	disposal of used goods such as refrigerators to eliminate harmful waste
-	treatment, disposal and storage of radioactive nuclear waste including:
-	treatment and disposal of transition radioactive waste, i.e. decaying within the period of transport, from hospitals
-	encapsulation, preparation and other treatment of nuclear waste for storage",,"This class excludes:
- incineration of non-hazardous waste, see 3821
- decontamination, clean up of land, water; and toxic material abatement, see 3900
- reprocessing of nuclear fuels, see 2011"
E383,383,Materials and other waste recovery,See class 3830,,,
E3830,3830,Materials and other waste recovery,,"This class includes:
-	processing of metal and non-metal waste and scrap and other articles into secondary raw materials, usually involving a mechanical or chemical transformation process
-	recovery of materials from waste streams in the form of:
•	separating and sorting recoverable materials from non-hazardous waste streams (i.e. garbage)
•	separating and sorting of commingled recoverable materials, such as paper, plastics, used beverage cans and metals, into distinct categories
Examples of the mechanical or chemical transformation processes that are undertaken are:
-	mechanical crushing of metal waste such as used cars, washing machines, bikes etc. with subsequent sorting and separation
-	dismantling of automobiles, computers, televisions and other equipment for materials recovery
-	mechanical reduction of large iron pieces such as railway wagons
-	shredding of metal waste, end-of-life vehicles etc.
-	other methods of mechanical treatment as cutting, pressing to reduce the volume
-	ship-breaking
-	reclaiming metals out of photographic waste, e.g. fixer solution or photographic films and paper
-	reclaiming of rubber such as used tires to produce secondary raw material
-	sorting and mechanical processing (e.g. cleaning, grinding) of plastics to produce secondary raw material 
-	processing (cleaning, melting, grinding) of plastic or rubber waste to granulates
-	processing (aging, cleaning, sorting) of incineration bottom ash into secondary raw materials (metals, aggregates) 
-	crushing, cleaning and sorting of glass
-	crushing, cleaning and sorting of other waste such as demolition waste to obtain secondary raw material
-	recovery of waste oil, processing of used cooking oils and fats into secondary raw materials 
-	processing of other food, beverage and tobacco waste and residual substances into secondary raw materials",,"This class excludes:
-	manufacture of new final products from  secondary metal raw materials (whether or not self-produced), such as spinning yarn from garnetted stock, making pulp from paper waste, retreading tyres or production of metal from metal scrap, see corresponding classes in section C (Manufacturing)
-	reprocessing of nuclear fuels, see 2011
-	remelting ferrous waste and scrap, see 2410
-	remelting of plastics to produce granulates or compounds, see 2013
-	treatment and disposal of non-hazardous waste, see 3821
-	treatment of organic waste for disposal, see 3821
-	energy recovery from non-hazardous waste incineration processes, see 3821
-	disposal of used goods such as refrigerators to eliminate harmful waste, see 3822
-	treatment and disposal of transition radioactive waste from hospitals etc., see 3822
-	treatment and disposal of toxic, contaminated waste, see 3822
-	dismantling of automobiles, computers, televisions and other equipment to obtain and resell usable parts, see section G
-	wholesale of recoverable materials, see 4679"
E39,39,Remediation and other waste management service activities,,"This division includes the provision of remediation services, e.g. the cleaning up of contaminated buildings and sites, soil, surface or ground water.",,
E390,390,Remediation and other waste management service activities,See class 3900,,,
E3900,3900,Remediation and other waste management service activities,,"This class includes:
- decontamination of soils and groundwater at the place of pollution, either in situ or ex situ, using e.g. mechanical, chemical or biological methods
- decontamination of industrial plants or sites, including nuclear plants and sites
- decontamination and cleaning up of surface water following accidental pollution, e.g. through collection of pollutants or through application of chemicals
- cleaning up oil spills and other pollutions on land, in surface water, in ocean and seas, including coastal areas
- asbestos, lead paint, and other toxic material abatement
- clearing of landmines , including detonation at the site
- other specialized pollution-control activities
- carbon capture and storage activities
- Remediation of mining sites","This class includes also:
- site remediation containment, control and monitoring services","This class excludes:
- pest control in agriculture, see 0161
- purification of water for water supply purposes, see 3600
- treatment of waste with recovery, see 3830
- treatment of waste for disposal, see 382
- outdoor sweeping and watering of streets, see 8129
- civil engineering projects of rehabilitation of mining sites, see section F"
F,F,Construction,,"This section includes general construction and specialised construction activities for buildings and civil engineering works. It includes new work, repair, additions and alterations, the erection of prefabricated buildings or structures on the site as well as construction of a temporary nature.
General construction is the construction of entire buildings for e.g., homes, offices, stores , as well as utility buildings or farm buildings etc.It also includes the construction of civil engineering works such as motorways, streets, bridges, tunnels, railways, airfields, harbours and other water projects, irrigation systems, sewerage systems, industrial facilities, pipelines and electric lines, sports facilities etc.
This work can be carried out on own account or on a fee or contract basis, including intermediation service activities for construction. Portions of the work and sometimes even the whole practical work can be subcontracted out. A main contractor that carries the overall responsibility for a construction project is classified here.
Also included is the repair of buildings and engineering works. Maintenance, repair and installation of equipment that forms an integral part of buildings , e.g. escalators or air-conditioning systems, is classified as construction in section F, if carried out at the construction site.

This section includes the complete construction of buildings (division 41), the complete construction of civil engineering works (division 42), as well as specialised construction activities, if carried out only as a part of the construction process (division 43). 
The rental of construction equipment with operator is classified with the specific construction activity carried out with this equipment.
","This section also includes:
- renovation and restoration of historical sites and buildings which are part of the cultural heritage","This section excludes:
- curative conservation of historical sites and buildings, see 9130
- archaeological excavations, see 722
- erection of complete prefabricated constructions from self-manufactured parts not of concrete, see divisions 16 and 25
- fabricating operations not performed at the site of construction, see Section C"
F41,41,Construction of residential and non-residential buildings,,"This division includes general construction of buildings of all types and sizes. It includes construction, repair, additions and alterations as well as the erection of pre-fabricated buildings on site and those of a temporary nature.

Included is the construction of entire buildings for e.g., homes, offices, stores as well as utility buildings or  farm buildings.",,
F410,410,Construction of residential and non-residential buildings,See class 4100,,,
F4100,4100,Construction of residential and non-residential buildings,,"This class includes the construction of complete residential or non-residential buildings, as well as of additions and alterations. Outsourcing parts or the whole construction process is possible. If only specialised parts of the construction process are carried out, the activity is classified in division 43.
This class includes:
- construction of all types of buildings:
• buildings for industrial production, e.g. factories and workshops
• hospital, school and office buildings
• hotel, store, shopping mall and restaurant buildings
• airport buildings
• indoor sports facilities 
• parking garages, including underground parking garages
• warehouse buildings
• religious buildings
- on-site construction of prefabricated buildings that are manufactured by a different unit","This class also includes:
- complete remodelling or renovating of existing residential or non-residential buildings involving several specialised construction activities
- construction of air-supported buildings, e.g. air domes","This class excludes:
- construction of industrial facilities, except buildings, see 4290
- installation of assembled prefabricated buildings, see 4390
- outdoor sports facilities, see 4290
- development of building projects, for later sale, see 6810
- architectural and engineering activities, see 711
- project management for construction, see 711"
F42,42,Civil engineering,,"This division includes general construction for civil engineering objects. It includes new work, repair, additions and alterations, the erection of pre-fabricated objects on site and also those of a temporary nature.
Included is the construction of heavy constructions such as motorways, roads, power plants, bridges, tunnels, railways, airfields, harbours and other water projects, irrigation systems, sewerage systems, industrial facilities, pipelines and electric lines, , outdoor sports facilities, etc. This work can be carried out on own account or on a fee or contract basis. Portions of the work and sometimes even the whole practical work can be subcontracted out.",,
F421,421,Construction of roads and railways,See class 4210,,,
F4210,4210,Construction of roads and railways,,"This class includes:
- construction of motorways, streets, roads, other vehicular and pedestrian ways
- surface work on streets, roads, highways, bridges or tunnels:
* asphalt paving of roads
- construction of bridges for elevated motorways and railways
- construction of tunnels, including those for motorways and railways
- construction of railways, underground railways and subways
- construction of electricity overhead lines and conductor rails for railways
- construction of airfield runways",,"This class excludes:
- installation of street lighting and electrical signals, see 4321
- architectural and engineering activities, see 7110
- project management activities related to civil engineering works, see 7110"
F422,422,Construction of utility projects,See class 4220,,,
F4220,4220,Construction of utility projects,,"This class includes the construction of distribution lines and related buildings and structures that are integral part of these systems.

This class includes:
- construction of civil engineering constructions for:
* long-distance pipelines, communication and power lines
* urban pipelines, urban communication and power lines; ancillary urban works
* water main and line construction
* irrigation systems (canals)
* reservoirs
- construction of:
* sewer systems, including repair
* sewage disposal plants
* pumping stations
* power plants","This class also includes:
- water well drilling","This class excludes:
- project management activities related to civil engineering works, see 7110"
F429,429,Construction of other civil engineering projects,See class 4290,,,
F4290,4290,Construction of other civil engineering projects,,"This class includes:
- construction of industrial facilities, except buildings, such as:
* mining facilities, e.g. shafts, towers and tunnels
* refineries
* chemical plants
* grain storage systems
- construction of:
* waterways, harbour and river works, marinas
* hydromechanical structures, e.g. locks, lifts, sluices and slipways
* dams and dykes
- dredging of waterways, e.g. harbour basins and rivers
- construction work, other than buildings, such as:
* outdoor sports facilities
- construction of playgrounds","This class also includes:
- land subdivision with land improvement (e.g. adding of roads, utility infrastructure etc.)","This class excludes:
- project management activities related to civil engineering works, see 7110"
F43,43,Specialized construction activities,,"This division includes specialised activities (special trades) in the construction of buildings and civil engineering objects or preparation of same. These activities are usually specialised in one aspect common to different structures, requiring specialised skills or equipment. Specialised construction works are generally performed by subcontractors on behalf of a contractor (whose activities fall under Division 41 or 42, see e.g. 4100 and 4290). Repair is usually performed without subcontracting.
 
Included is the installation of all types of utilities that make the construction function as such. These activities are usually performed at the site of the construction, although parts of the job may be carried out off site. 

This division includes electrical, plumbing and other offshore construction installation on floating platforms.

The rental of equipment with operator is classified under the associated construction activity.","This division also includes:
- specialised construction activities carried out as repair and maintenance 
- completion or finishing of buildings and other constructions",
F431,431,Demolition and site preparation,,"This group includes activities of preparing a site for subsequent construction activities, including    the removal of previously existing structures.",,
F4311,4311,Demolition,," This class includes:
- demolition, dismantling or wrecking of buildings and other structures",,
F4312,4312,Site preparation,,"This class includes the preparation of sites for subsequent construction activities.

This class includes:
- clearing of building sites
- earth moving: excavation, landfill, levelling and grading of construction sites, trench digging, rock removal, blasting, etc.
- drilling, boring and core sampling for construction, geophysical, geological or similar purposes","This class also includes:
- site preparation for mining:
* overburden removal and other development and preparation of mineral properties and sites, except oil and gas sites
- building site drainage
- drainage of agricultural or forestry land","This class excludes:
- drilling of production oil or gas wells, see 0610, 0620
- test drilling and test hole boring for mining operations (other than oil and gas extraction), see 0990
- decontamination of soil, see 3900
- water well drilling, see 4220
- shaft sinking, see 4390
- oil and gas field exploration, geophysical, geological and seismic surveying, see 7110"
F432,432,"Electrical, plumbing and other construction installation activities",,"This group includes installation activities that support the functioning of a building as such, including installation of electrical systems, plumbing (water, gas and sewage systems), heat and air-conditioning systems, elevators etc.",,
F4321,4321,Electrical installation,,"This class includes the installation, repair and maintenance of electrical systems in all types of buildings and civil engineering structures of electrical systems.
This class includes:
- installation of:
• electrical wiring and fittings
• telecommunications wiring
• computer network and cable television wiring, including fibre optic
• satellite dishes
• lighting systems
• fire alarms
• burglar alarm systems
• street lighting and electrical signals
• airport runway lighting
• photovoltaic systems on buildings
• power storage systems
  - installation of electrical chargers, for electrical vehicles","This class also includes:
- connecting of electric appliances and household equipment, including baseboard heating","This class excludes:
- distribution lines for electricity and telecommunications, see 4220
- construction of solar and wind energy farms, see 4220
- construction of stations for distribution of electricity, e.g. for electrical vehicles, see 4220
- installation of lightning conductors, see 4329
- monitoring and remote monitoring of electronic security systems, such as burglar alarms and fire alarms, including their installation and maintenance, see 8019"
F4322,4322,"Plumbing, heat and air-conditioning installation",,"This class includes the installation, repair and maintenance of plumbing, heating and air-conditioning systems, including additions and alterations.
This class includes:
- installation, maintenance and repair of:
• heating systems , e.g. heat pumps and solar thermal collectors  
• furnaces, cooling towers
• plumbing and sanitary equipment
• ventilation and air-conditioning equipment and ducts
• gas fittings
• steam piping
• sprinkler systems, e.g. fire and lawn sprinkler systems
- construction or installation of masonry heater stoves
- duct work installation","This class also includes:
- medical gas distribution systems in hospitals","This class excludes:
- installation of electric baseboard heating, see 4321
- camera inspections in air ducts, water and gas pipes, and other liquids without repair or installation, see 7120"
F4329,4329,Other construction installation,," This class includes the installation of equipment other than electrical, plumbing, heating and air-conditioning systems or industrial machinery in buildings and civil engineering structures, including maintenance and repair.

This class includes:
- installation in buildings or other construction projects of:
* elevators, escalators
* automated and revolving doors
* lightning conductors
* vacuum cleaning systems
* thermal, sound or vibration insulation",,"This class excludes:
- installation of industrial machinery, see 3320"
F433,433,Building completion and finishing,See class 4330,,,
F4330,4330,Building completion and finishing,,"This class includes:
- application in buildings or other construction projects of interior and exterior plaster or stucco, including related lathing materials
- installation of doors (except automated and revolving), windows, door and window frames, of wood or other materials
- installation of fitted kitchens, staircases, shop fittings and the like
- installation of furniture
- interior completion such as ceilings, wooden wall coverings, movable partitions, etc.
- laying, tiling, hanging or fitting in buildings or other construction projects of:
* ceramic, concrete or cut stone wall or floor tiles, ceramic stove fitting
* parquet and other wooden floor coverings
* carpets and linoleum floor coverings, including of rubber or plastic
* terrazzo, marble, granite or slate floor or wall coverings
* wallpaper
- interior and exterior painting of buildings
- painting of civil engineering structures
- installation of glass, mirrors, etc.
- other building completion work n.e.c.","This class also includes:
- interior installation of shops, mobile homes, boats etc.","This class excludes:
- painting of roads, see 4210
- installation of automated and revolving doors, see 4329
- general interior cleaning of buildings and other structures, see 8121
- specialized interior and exterior cleaning of buildings, see 8129
- activities of interior decoration designers, see 7410
- assembly of self-standing furniture, see 9524"
F434,434,Intermediation service activities for specialized construction services,See class 4340,,,
F4340,4340,Intermediation service activities for specialized construction services,,"This class includes the intermediation for specialised construction services by bringing clients and service providers together for a fee or commission, without the intermediary providing the specialised construction services that are intermediated. These intermediation activities can be carried out on digital platforms or through non-digital channels (face-to-face, phone, post, etc.). The fee or commission can be received from either the client or the provider of the specialised construction services. Revenue for the intermediation activities can include other sources of income, such as revenues from advertising.",,This class excludes other non-intermediation specialized construction services.
F439,439,Other specialized construction activities,See class 4390,,,
